region_code,weather_param,year, key, value 
UK,MaxTemp,1916,Jan,9
UK,MaxTemp,1910,Feb,6.8
UK,MaxTemp,1910,Mar,9.1
UK,MaxTemp,1910,Apr,9.8
UK,MaxTemp,1910,May,14.4
UK,MaxTemp,1910,Jun,17.7
UK,MaxTemp,1910,Jul,17
UK,MaxTemp,1910,Aug,17.7
UK,MaxTemp,1910,Sept,15.6
UK,MaxTemp,1910,Oct,12.8
UK,MaxTemp,1910,Nov,5.9
UK,MaxTemp,1910,Dec,7.7
UK,MaxTemp,2007,Jan,8.7
UK,MaxTemp,1911,Feb,6.8
UK,MaxTemp,1911,Mar,7.2
UK,MaxTemp,1911,Apr,10.3
UK,MaxTemp,1911,May,16.4
UK,MaxTemp,1911,Jun,17.8
UK,MaxTemp,1911,Jul,21.4
UK,MaxTemp,1911,Aug,21.2
UK,MaxTemp,1911,Sept,17.3
UK,MaxTemp,1911,Oct,11.8
UK,MaxTemp,1911,Nov,7.8
UK,MaxTemp,1911,Dec,7.7
UK,MaxTemp,1989,Jan,8.6
UK,MaxTemp,1912,Feb,7
UK,MaxTemp,1912,Mar,9.2
UK,MaxTemp,1912,Apr,12.6
UK,MaxTemp,1912,May,14.8
UK,MaxTemp,1912,Jun,16.3
UK,MaxTemp,1912,Jul,18.4
UK,MaxTemp,1912,Aug,15.2
UK,MaxTemp,1912,Sept,13.9
UK,MaxTemp,1912,Oct,11.5
UK,MaxTemp,1912,Nov,8
UK,MaxTemp,1912,Dec,8.2
UK,MaxTemp,1932,Jan,8.5
UK,MaxTemp,1913,Feb,7
UK,MaxTemp,1913,Mar,8.2
UK,MaxTemp,1913,Apr,10.5
UK,MaxTemp,1913,May,14.3
UK,MaxTemp,1913,Jun,17.1
UK,MaxTemp,1913,Jul,17.6
UK,MaxTemp,1913,Aug,18.6
UK,MaxTemp,1913,Sept,16.5
UK,MaxTemp,1913,Oct,13.2
UK,MaxTemp,1913,Nov,10.2
UK,MaxTemp,1913,Dec,6.6
UK,MaxTemp,1921,Jan,8.4
UK,MaxTemp,1914,Feb,8.6
UK,MaxTemp,1914,Mar,8.2
UK,MaxTemp,1914,Apr,13.5
UK,MaxTemp,1914,May,13.8
UK,MaxTemp,1914,Jun,17.9
UK,MaxTemp,1914,Jul,18.8
UK,MaxTemp,1914,Aug,19.3
UK,MaxTemp,1914,Sept,16.8
UK,MaxTemp,1914,Oct,12.9
UK,MaxTemp,1914,Nov,8.9
UK,MaxTemp,1914,Dec,6.1
UK,MaxTemp,1990,Jan,8.2
UK,MaxTemp,1915,Feb,6.1
UK,MaxTemp,1915,Mar,7.7
UK,MaxTemp,1915,Apr,11
UK,MaxTemp,1915,May,14.3
UK,MaxTemp,1915,Jun,18
UK,MaxTemp,1915,Jul,17.5
UK,MaxTemp,1915,Aug,18.1
UK,MaxTemp,1915,Sept,16.6
UK,MaxTemp,1915,Oct,11.9
UK,MaxTemp,1915,Nov,5.8
UK,MaxTemp,1915,Dec,6.5
UK,MaxTemp,1975,Jan,8.1
UK,MaxTemp,1916,Feb,5.5
UK,MaxTemp,1916,Mar,5.1
